add-yield-none,2,10,40,219014,5475,8
add-yield-none,2,20,80,223835,2797,-6
add-yield-none,2,40,160,227749,1423,34
add-yield-none,2,80,320,277787,868,18
add-yield-none,2,100,400,344863,862,2
add-yield-none,2,1000,4000,1979351,494,0
add-yield-none,2,10000,40000,18421436,460,-523
add-yield-none,2,100000,400000,174119325,435,216
add-yield-none,4,10,80,238193,2977,16
add-yield-none,4,20,160,224259,1401,43
add-yield-none,4,40,320,348048,1087,33
add-yield-none,4,80,640,359505,561,39
add-yield-none,4,100,800,385732,482,57
add-yield-none,4,1000,8000,2074073,259,-88
add-yield-none,4,10000,80000,18242290,228,-308
add-yield-none,4,100000,800000,179116756,223,-2528
add-yield-none,8,10,160,363087,2269,8
add-yield-none,8,20,320,363145,1134,57
add-yield-none,8,40,640,402269,628,18
add-yield-none,8,80,1280,499695,390,40
add-yield-none,8,100,1600,532171,332,200
add-yield-none,8,1000,16000,2314643,144,139
add-yield-none,8,10000,160000,19446358,121,63
add-yield-none,8,100000,1600000,196280107,122,-1279
add-yield-none,12,10,240,509601,2123,-4
add-yield-none,12,20,480,500744,1043,101
add-yield-none,12,40,960,1794956,1869,91
add-yield-none,12,80,1920,564653,294,88
add-yield-none,12,100,2400,598729,249,80
add-yield-none,12,1000,24000,2783556,115,3
add-yield-none,12,10000,240000,25319506,105,-344
add-yield-none,12,100000,2400000,243135671,101,-1676
add-none,2,10,40,177487,4437,0
add-none,2,100,400,161749,404,0
add-none,2,1000,4000,195782,48,-46
add-none,2,10000,40000,520661,13,-450
add-none,2,100000,400000,3804004,9,940
add-none,4,10,80,223040,2788,0
add-none,4,100,800,227608,284,0
add-none,4,1000,8000,203501,25,0
add-none,4,10000,80000,1348692,16,-2039
add-none,4,100000,800000,11553780,14,-46026
add-none,8,10,160,352604,2203,0
add-none,8,100,1600,365863,228,0
add-none,8,1000,16000,354740,22,728
add-none,8,10000,160000,2655729,16,865
add-none,8,100000,1600000,23644106,14,-67348
add-none,12,10,240,462286,1926,0
add-none,12,100,2400,490464,204,0
add-none,12,1000,24000,582661,24,-1174
add-none,12,10000,240000,3820976,15,3441
add-none,12,100000,2400000,36435724,15,-43946
add-none,1,10,20,235550,11777,0
add-none,1,100,200,198940,994,0
add-none,1,1000,2000,166938,83,0
add-none,1,10000,20000,312442,15,0
add-none,1,100000,200000,1484029,7,0
add-yield-m,2,10000,40000,51741575,1293,0
add-yield-m,4,10000,80000,131983333,1649,0
add-yield-m,8,10000,160000,274329635,1714,0
add-yield-m,12,10000,240000,411800586,1715,0
add-yield-c,2,10000,40000,37260116,931,0
add-yield-c,4,10000,80000,74305373,928,0
add-yield-c,8,10000,160000,166046966,1037,0
add-yield-c,12,10000,240000,287560764,1198,0
add-yield-s,2,1000,4000,3624614,906,0
add-yield-s,4,1000,8000,8853328,1106,0
add-yield-s,8,1000,16000,18373608,1148,0
add-yield-s,12,1000,24000,29582927,1232,0
add-none,1,10000,20000,299282,14,0
add-none,2,10000,40000,696402,17,111
add-none,4,10000,80000,1325514,16,-1951
add-none,8,10000,160000,2336922,14,99
add-none,12,10000,240000,3722532,15,132
add-m,1,10000,20000,793662,39,0
add-m,2,10000,40000,3076668,76,0
add-m,4,10000,80000,12912494,161,0
add-m,8,10000,160000,32779344,204,0
add-m,12,10000,240000,48717228,202,0
add-s,1,10000,20000,407416,20,0
add-s,2,10000,40000,2052320,51,0
add-s,4,10000,80000,8750643,109,0
add-s,8,10000,160000,33939049,212,0
add-s,12,10000,240000,89881820,374,0
add-c,1,10000,20000,595986,29,0
add-c,2,10000,40000,2154946,53,0
add-c,4,10000,80000,6363550,79,0
add-c,8,10000,160000,16582292,103,0
add-c,12,10000,240000,26818269,111,0
